100% Bran;70.0;4.0;1.0;130.0;10.0;5.0;6.0;0.33
All-Bran;70.0;4.0;1.0;260.0;9.0;7.0;5.0;0.33
All-Bran with Extra Fiber;50.0;4.0;0.0;140.0;14.0;8.0;0.0;0.5
Almond Delight;110.0;2.0;2.0;200.0;1.0;14.0;8.0;0.75
Apple Cinnamon Cheerios;110.0;2.0;2.0;180.0;1.5;10.5;10.0;0.75
Apple Jacks;110.0;2.0;0.0;125.0;1.0;11.0;14.0;1.0
Basic 4;130.0;3.0;2.0;210.0;2.0;18.0;8.0;0.75
Bran Chex;90.0;2.0;1.0;200.0;4.0;15.0;6.0;0.67
Bran Flakes;90.0;3.0;0.0;210.0;5.0;13.0;5.0;0.67
Cap'n'Crunch;120.0;1.0;2.0;220.0;0.0;12.0;12.0;0.75
Cheerios;110.0;6.0;2.0;290.0;2.0;17.0;1.0;1.25
Cinnamon Toast Crunch;120.0;1.0;3.0;210.0;0.0;13.0;9.0;0.75
Clusters;110.0;3.0;2.0;140.0;2.0;13.0;7.0;0.5
Cocoa Puffs;110.0;1.0;1.0;180.0;0.0;12.0;13.0;1.0
Corn Chex;110.0;2.0;0.0;280.0;0.0;22.0;3.0;1.0
Corn Flakes;100.0;2.0;0.0;290.0;1.0;21.0;2.0;1.0
Corn Pops;110.0;1.0;0.0;90.0;1.0;13.0;12.0;1.0
Count Chocula;110.0;1.0;1.0;180.0;0.0;12.0;13.0;1.0
Cracklin' Oat Bran;110.0;3.0;3.0;140.0;4.0;10.0;7.0;0.5
Crispix;110.0;2.0;0.0;220.0;1.0;21.0;3.0;1.0
Crispy Wheat & Raisins;100.0;2.0;1.0;140.0;2.0;11.0;10.0;0.75
Double Chex;100.0;2.0;0.0;190.0;1.0;18.0;5.0;0.75
Froot Loops;110.0;2.0;1.0;125.0;1.0;11.0;13.0;1.0
Frosted Flakes;110.0;1.0;0.0;200.0;1.0;14.0;11.0;0.75
Frosted Mini-Wheats;100.0;3.0;0.0;0.0;3.0;14.0;7.0;0.8
Fruit & Fibre;120.0;3.0;2.0;160.0;5.0;12.0;10.0;0.67
Fruitful Bran;120.0;3.0;0.0;240.0;5.0;14.0;12.0;0.67
Fruity Pebbles;110.0;1.0;1.0;135.0;0.0;13.0;12.0;0.75
Golden Crisp;100.0;2.0;0.0;45.0;0.0;11.0;15.0;0.88
Golden Grahams;110.0;1.0;1.0;280.0;0.0;15.0;9.0;0.75
Grape Nuts Flakes;100.0;3.0;1.0;140.0;3.0;15.0;5.0;0.88
Grape-Nuts;110.0;3.0;0.0;170.0;3.0;17.0;3.0;0.25
Great Grains Pecan;120.0;3.0;3.0;75.0;3.0;13.0;4.0;0.33
Honey Graham Ohs;120.0;1.0;2.0;220.0;1.0;12.0;11.0;1.0
Honey Nut Cheerios;110.0;3.0;1.0;250.0;1.5;11.5;10.0;0.75
Honey-comb;110.0;1.0;0.0;180.0;0.0;14.0;11.0;1.33
Just RIght;110.0;2.0;1.0;170.0;1.0;17.0;6.0;1.0
Just Right Fruit & Nut;140.0;3.0;1.0;170.0;2.0;20.0;9.0;0.75
Kix;110.0;2.0;1.0;260.0;0.0;21.0;3.0;1.5
Life;100.0;4.0;2.0;150.0;2.0;12.0;6.0;0.67
Lucky Charms;110.0;2.0;1.0;180.0;0.0;12.0;12.0;1.0
Maypo;100.0;4.0;1.0;0.0;0.0;16.0;3.0;1.0
Multi-Grain Cheerios;100.0;2.0;1.0;220.0;2.0;15.0;6.0;1.0
Nut&Honey Crunch;120.0;2.0;1.0;190.0;0.0;15.0;9.0;0.67
Nutri-grain Wheat;90.0;3.0;0.0;170.0;3.0;18.0;2.0;1.0
Oatmeal Raisin Crisp;130.0;3.0;2.0;170.0;1.5;13.5;10.0;0.5
Product 19;100.0;3.0;0.0;320.0;1.0;20.0;3.0;1.0
Puffed Rice;50.0;1.0;0.0;0.0;0.0;13.0;0.0;1.0
Puffed Wheat;50.0;2.0;0.0;0.0;1.0;10.0;0.0;1.0
Quaker Oat Squares;100.0;4.0;1.0;135.0;2.0;14.0;6.0;0.5
Raisin Bran;120.0;3.0;1.0;210.0;5.0;14.0;12.0;0.75
Raisin Nut Bran;100.0;3.0;2.0;140.0;2.5;10.5;8.0;0.5
Raisin Squares;90.0;2.0;0.0;0.0;2.0;15.0;6.0;0.5
Rice Chex;110.0;1.0;0.0;240.0;0.0;23.0;2.0;1.13
Rice Krispies;110.0;2.0;0.0;290.0;0.0;22.0;3.0;1.0
Shredded Wheat;80.0;2.0;0.0;0.0;3.0;16.0;0.0;1.0
Shredded Wheat 'n'Bran;90.0;3.0;0.0;0.0;4.0;19.0;0.0;0.67
Smacks;110.0;2.0;1.0;70.0;1.0;9.0;15.0;0.75
Special K;110.0;6.0;0.0;230.0;1.0;16.0;3.0;1.0
Strawberry Fruit Wheats;90.0;2.0;0.0;15.0;3.0;15.0;5.0;1.0
Total Raisin Bran;140.0;3.0;1.0;190.0;4.0;15.0;14.0;1.0
Total Whole Grain;100.0;3.0;1.0;200.0;3.0;16.0;3.0;1.0
Triples;110.0;2.0;1.0;250.0;0.0;21.0;3.0;0.75
Trix;110.0;1.0;1.0;140.0;0.0;13.0;12.0;1.0
Wheat Chex;100.0;3.0;1.0;230.0;3.0;17.0;3.0;0.67
Wheaties;100.0;3.0;1.0;200.0;3.0;17.0;3.0;1.0
Wheaties Honey Gold;110.0;2.0;1.0;200.0;1.0;16.0;8.0;0.75
